"filename", "language", "TypeScript", "XML", "SCSS", "HTML", "JSON", "comment", "blank", "total"
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/spareBits.json", "JSON", 0, 0, 0, 0, 48, 0, 1, 49
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2.module.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 3, 22
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2.page.html", "HTML", 0, 0, 0, 63, 0, 12, 7, 82
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2.page.scss", "SCSS", 0, 0, 42, 0, 0, 14, 4, 60
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2.page.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab2/tab2.page.ts", "TypeScript", 95, 0, 0, 0, 0, 4, 15, 114
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3.module.ts", "TypeScript", 21, 0, 0, 0, 0, 1, 4, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3.page.html", "HTML", 0, 0, 0, 18, 0, 9, 8, 35
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3.page.scss", "SCSS", 0, 0, 8, 0, 0, 0, 3, 11
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3.page.spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 6, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab3/tab3.page.ts", "TypeScript", 19, 0, 0, 0, 0, 5, 7, 31
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4-routing.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4.module.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 3, 21
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4.page.html", "HTML", 0, 0, 0, 36, 0, 0, 1, 37
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4.page.scss", "SCSS", 0, 0, 45, 0, 0, 5, 11, 61
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4.page.spec.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 6, 25
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tab4/tab4.page.ts", "TypeScript", 69, 0, 0, 0, 0, 2, 11, 82
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs-routing.module.ts", "TypeScript", 70, 0, 0, 0, 0, 5, 4, 79
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 4, 20
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs.page.html", "HTML", 0, 0, 0, 16, 0, 4, 4, 24
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 2, 2
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs.page.spec.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 6, 27
"/Users/johncummins/Ionic/FlickMate1.0/src/app/tabs/tabs.page.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"/Users/johncummins/Ionic/FlickMate1.0/src/assets/imdb_logo.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 3
"/Users/johncummins/Ionic/FlickMate1.0/src/assets/shapes.svg", "XML", 0, 1, 0, 0, 0, 0, 1, 2
"/Users/johncummins/Ionic/FlickMate1.0/src/environments/environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"/Users/johncummins/Ionic/FlickMate1.0/src/global.scss", "SCSS", 0, 0, 98, 0, 0, 17, 23, 138
"/Users/johncummins/Ionic/FlickMate1.0/src/index.html", "HTML", 0, 0, 0, 37, 0, 1, 9, 47
"/Users/johncummins/Ionic/FlickMate1.0/src/main.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"/Users/johncummins/Ionic/FlickMate1.0/src/polyfills.ts", "TypeScript", 3, 0, 0, 0, 0, 58, 9, 70
"/Users/johncummins/Ionic/FlickMate1.0/src/test.ts", "TypeScript", 18, 0, 0, 0, 0, 4, 4, 26
"/Users/johncummins/Ionic/FlickMate1.0/src/theme/variables.scss", "SCSS", 0, 0, 96, 0, 0, 106, 46, 248
"/Users/johncummins/Ionic/FlickMate1.0/src/zone-flags.ts", "TypeScript", 1, 0, 0, 0, 0, 5, 1, 7
"Total", "-", 3328, 4, 818, 950, 48, 805, 1190, 7143
